Player,Player-additional,Team,MP,OBPM,DBPM,VORP,Pos,Year
Luguentz Dort,dortlu01,OKC,1665,-1.5,-0.7,-0.1,SG,2022
Tre Mann,manntr01,OKC,1367,-3.3,-1.1,-0.8,PG,2022
Aleksej Pokusevski,pokusal01,OKC,1233,-2.7,0.1,-0.2,PF,2022
Aaron Wiggins,wiggiaa01,OKC,1209,-3.4,-0.9,-0.7,SG,2022
Jeremiah Robinson-Earl,robinje02,OKC,1087,-1.9,-0.4,-0.1,C,2022
Kenrich Williams,willike04,OKC,1072,-1.3,1.1,0.5,SF,2022
Isaiah Roby,robyis01,OKC,948,0.4,0.2,0.6,PF,2022
Théo Maledon,maledth01,OKC,908,-3.7,-0.7,-0.6,PG,2022
Ty Jerome,jeromty01,OKC,801,-2.2,-0.2,-0.1,SG,2022
Vit Krejci,krejcvi01,OKC,690,-4.3,-1.0,-0.6,SG,2022
Derrick Favors,favorde01,OKC,653,-2.3,0.3,0.0,C,2022
Mike Muscala,muscami01,OKC,592,3.8,1.2,1.1,C,2022
Lindy Waters III,waterli01,OKC,465,-0.8,-0.8,0.1,SG,2022
Olivier Sarr,sarrol01,OKC,421,-2.7,-1.3,-0.2,C,2022
Jaylen Hoard,hoardja01,OKC,240,1.2,-2.1,0.1,SF,2022
Mamadi Diakite,diakima01,OKC,188,-5.9,0.9,-0.1,PF,2022
Zavier Simpson,simpsza01,OKC,174,-6.0,-1.9,-0.3,PG,2022
Georgios Kalaitzakis,kalaige01,OKC,166,-4.9,-1.9,-0.2,SF,2022
Paul Watson,watsopa01,OKC,156,-4.8,-0.6,-0.1,SF,2022
Melvin Frazier,frazime01,OKC,120,-9.7,-6.7,-0.4,SG,2022
Gabriel Deck,deckga01,OKC,56,-1.2,-1.3,0.0,PF,2022
Scotty Hopson,hopsosc01,OKC,18,-8.7,-2.9,0.0,SG,2022
Rob Edwards,edwarro01,OKC,11,-8.3,-2.9,0.0,SG,2022
Mikal Bridges,bridgmi01,PHO,2854,0.5,1.1,2.6,SF,2022
Devin Booker,bookede01,PHO,2345,3.9,0.2,3.6,SG,2022
Chris Paul,paulch01,PHO,2139,3.1,2.3,4.0,PG,2022
Jae Crowder,crowdja01,PHO,1886,-1.3,2.4,1.5,PF,2022
Cameron Johnson,johnsca02,PHO,1730,2.0,0.7,2.1,PF,2022
Deandre Ayton,aytonde01,PHO,1713,2.2,0.6,2.1,C,2022
Landry Shamet,shamela01,PHO,1437,-0.9,-0.4,0.3,SG,2022
Cameron Payne,payneca01,PHO,1278,-0.4,0.4,0.7,PG,2022
JaVale McGee,mcgeeja01,PHO,1172,-0.1,0.9,0.8,C,2022
Torrey Craig,craigto01,PHO,562,-1.9,0.9,0.1,SF,2022
Elfrid Payton,paytoel01,PHO,549,-4.6,1.2,-0.2,PG,2022
Bismack Biyombo,biyombi01,PHO,506,-1.7,0.4,0.1,C,2022
Jalen Smith,smithja04,PHO,382,-1.9,-0.5,0.0,PF,2022
Ish Wainright,wainris01,PHO,359,-3.0,1.0,0.0,PF,2022
Aaron Holiday,holidaa01,PHO,358,-1.0,0.3,0.1,PG,2022
Frank Kaminsky,kaminfr01,PHO,181,2.4,2.5,0.3,C,2022
Abdel Nader,naderab01,PHO,145,-7.1,2.2,-0.1,SF,2022
Gabriel Lundberg,lundbga01,PHO,44,-5.3,0.5,0.0,SG,2022
Justin Jackson,jacksju01,PHO,35,-2.5,-0.9,0.0,SF,2022
Chandler Hutchison,hutchch01,PHO,22,-8.0,-0.5,0.0,SF,2022
Emanuel Terry,terryem01,PHO,18,-13.0,-5.3,-0.1,PF,2022
M.J. Walker,walkemj01,PHO,8,-15.8,6.2,0.0,SG,2022
Paris Bass,basspa01,PHO,7,-11.2,-1.2,0.0,SF,2022
Keldon Johnson,johnske04,SAS,2392,0.7,-1.2,0.9,SF,2022
Dejounte Murray,murrade01,SAS,2366,3.7,1.7,4.4,PG,2022
Jakob Poeltl,poeltja01,SAS,1970,0.9,0.7,1.7,C,2022
Devin Vassell,vassede01,SAS,1937,-0.5,0.0,0.7,SF,2022
Lonnie Walker IV,walkelo01,SAS,1612,-1.2,-1.3,-0.2,SG,2022
Derrick White,whitede01,SAS,1486,1.2,0.6,1.4,SG,2022
Doug McDermott,mcderdo01,SAS,1223,-0.4,-2.1,-0.1,PF,2022
Tre Jones,jonestr01,SAS,1148,-0.9,0.4,0.4,PG,2022
Joshua Primo,primojo01,SAS,965,-3.8,-1.1,-0.7,SF,2022
Keita Bates-Diop,bateske01,SAS,956,-2.1,-0.5,-0.1,SF,2022
Bryn Forbes,forbebr01,SAS,676,-0.3,-1.3,0.1,SG,2022
Drew Eubanks,eubandr01,SAS,595,-1.9,0.7,0.1,C,2022
Jock Landale,landajo01,SAS,589,0.7,-1.1,0.2,C,2022
Josh Richardson,richajo01,SAS,513,0.1,-0.3,0.2,SG,2022
Zach Collins,colliza01,SAS,502,-1.2,1.0,0.2,C,2022
Thaddeus Young,youngth01,SAS,370,0.5,1.8,0.4,PF,2022
Joe Wieskamp,wieskjo01,SAS,205,-2.9,-1.1,-0.1,SG,2022
Devontae Cacok,cacokde01,SAS,121,0.7,3.5,0.2,PF,2022
Tyler Johnson,johnsty01,SAS,53,-4.9,1.1,0.0,PG,2022
Juancho Hernangómez,hernaju01,SAS,51,-2.4,-0.1,0.0,PF,2022
Romeo Langford,langfro01,SAS,43,-3.8,-0.4,0.0,SG,2022
Jaylen Morris,morrija01,SAS,16,-15.8,-5.7,-0.1,SG,2022
Tomáš Satoranský,satorto01,SAS,9,0.8,-2.1,0.0,SF,2022
Anthony Lamb,lamban01,SAS,8,-6.2,-1.8,0.0,SF,2022
Jalen Green,greenja05,HOU,2138,-0.5,-2.4,-0.5,SG,2022
Christian Wood,woodch01,HOU,2094,2.1,-0.4,1.9,C,2022
Jae'Sean Tate,tateja01,HOU,2056,-1.3,-0.5,0.1,PF,2022
Kevin Porter Jr.,porteke02,HOU,1907,-0.1,-1.6,0.2,PG,2022
Garrison Mathews,mathega01,HOU,1712,-1.3,-1.0,-0.1,SG,2022
Eric Gordon,gordoer01,HOU,1669,-0.1,-2.2,-0.1,SG,2022
KJ Martin,martike04,HOU,1656,0.0,-1.2,0.4,SF,2022
Alperen Şengün,sengual01,HOU,1489,-1.6,0.6,0.4,C,2022
Josh Christopher,chrisjo01,HOU,1334,-2.2,-1.3,-0.5,SG,2022
Armoni Brooks,brookar01,HOU,690,-2.6,-1.8,-0.4,SG,2022
David Nwaba,nwabada01,HOU,609,-0.6,0.0,0.2,SF,2022
Daniel Theis,theisda01,HOU,584,-2.6,-0.9,-0.2,C,2022
D.J. Augustin,augusdj01,HOU,510,-1.4,-2.9,-0.3,PG,2022
Dennis Schröder,schrode01,HOU,404,-2.5,-1.9,-0.2,PG,2022
Daishen Nix,nixda01,HOU,261,-5.4,-1.0,-0.3,SG,2022
Usman Garuba,garubus01,HOU,239,-1.8,0.9,0.1,PF,2022
Danuel House Jr.,houseda01,HOU,233,-4.8,-0.7,-0.2,SF,2022
Bruno Fernando,fernabr01,HOU,94,1.3,0.2,0.1,C,2022
Trevelin Queen,queentr01,HOU,74,2.7,-0.8,0.1,SG,2022
Scottie Barnes,barnesc01,TOR,2617,0.5,0.4,1.9,PF,2022
Pascal Siakam,siakapa01,TOR,2578,2.7,0.8,3.6,PF,2022
Fred VanVleet,vanvlfr01,TOR,2462,3.1,0.5,3.5,PG,2022
Gary Trent Jr.,trentga02,TOR,2448,-0.1,0.3,1.3,SG,2022
OG Anunoby,anunoog01,TOR,1728,0.4,0.1,1.1,SF,2022
Precious Achiuwa,achiupr01,TOR,1725,-2.0,-0.6,-0.2,C,2022
Chris Boucher,bouchch01,TOR,1690,0.5,-0.4,0.9,SF,2022
Khem Birch,birchkh01,TOR,991,-1.7,0.4,0.2,C,2022
Svi Mykhailiuk,mykhasv01,TOR,716,-2.7,-0.2,-0.2,SF,2022
Dalano Banton,bantoda01,TOR,696,-3.5,0.4,-0.2,PG,2022
Malachi Flynn,flynnma01,TOR,537,-1.8,0.4,0.1,PG,2022
Thaddeus Young,youngth01,TOR,475,-0.2,2.2,0.5,PF,2022
Yuta Watanabe,watanyu01,TOR,445,-1.9,0.0,0.0,SF,2022
Justin Champagnie,champju01,TOR,281,-1.3,-0.7,0.0,SF,2022
Armoni Brooks,brookar01,TOR,154,-2.8,1.2,0.0,PG,2022
Goran Dragić,dragigo01,TOR,90,-0.6,2.6,0.1,PG,2022
Isaac Bonga,bongais01,TOR,69,-5.4,5.0,0.0,SF,2022
D.J. Wilson,wilsodj01,TOR,54,1.8,3.2,0.1,PF,2022
Tremont Waters,watertr01,TOR,42,-7.5,-0.6,-0.1,PG,2022
Juwan Morgan,morgaju01,TOR,27,-3.2,-4.2,0.0,PF,2022
Daniel Oturu,oturuda01,TOR,27,-2.7,-2.5,0.0,C,2022
David Johnson,johnsda08,TOR,2,-19.0,-8.7,0.0,SG,2022
Sam Dekker,dekkesa01,TOR,1,-6.2,-3.4,0.0,PF,2022
Saddiq Bey,beysa01,DET,2704,0.9,-1.2,1.2,SF,2022
Cade Cunningham,cunnica01,DET,2088,-1.1,-0.5,0.2,SG,2022
Isaiah Stewart,stewais01,DET,1816,-2.5,-0.8,-0.6,C,2022
Killian Hayes,hayeski01,DET,1647,-4.3,0.8,-0.6,PG,2022
Cory Joseph,josepco01,DET,1600,-2.0,-0.1,0.0,PG,2022
Jerami Grant,grantje01,DET,1500,1.4,-0.2,1.2,PF,2022
Hamidou Diallo,diallha01,DET,1269,-1.2,0.7,0.5,SG,2022
Frank Jackson,jacksfr01,DET,1164,-1.8,-1.7,-0.4,PG,2022
Trey Lyles,lylestr01,DET,990,0.5,-0.4,0.5,PF,2022
Kelly Olynyk,olynyke01,DET,764,0.5,1.0,0.7,C,2022
Rodney McGruder,mcgruro01,DET,754,-0.7,-0.7,0.1,SG,2022
Josh Jackson,jacksjo02,DET,707,-3.5,-0.2,-0.3,SF,2022
Saben Lee,leesa01,DET,604,-1.9,1.5,0.2,PG,2022
Marvin Bagley III,baglema01,DET,490,0.4,-0.9,0.2,PF,2022
Luka Garza,garzalu01,DET,389,-0.5,-2.0,-0.1,C,2022
Isaiah Livers,liveris01,DET,383,-1.3,-0.2,0.0,SF,2022
Braxton Key,keybr01,DET,191,-3.7,0.5,-0.1,SF,2022
Jamorko Pickett,pickeja01,DET,176,-2.8,-2.1,-0.1,PF,2022
Cassius Stanley,stanlca01,DET,155,-4.9,-1.0,-0.2,SG,2022
Derrick Walton,waltode01,DET,108,-5.3,1.0,-0.1,PG,2022
Justin Robinson,robinju01,DET,91,-4.7,-2.3,-0.1,PG,2022
Carsen Edwards,edwarca01,DET,79,-6.0,-3.4,-0.1,SG,2022
Micah Potter,pottemi01,DET,31,-4.0,-3.0,0.0,C,2022
Cheick Diallo,diallch01,DET,31,-4.2,-3.3,0.0,C,2022
Deividas Sirvydis,sirvyde01,DET,27,-10.8,2.2,0.0,SG,2022
Trayvon Palmer,palmetr01,DET,17,-13.1,-1.8,-0.1,SG,2022
Jaysean Paige,paigeja01,DET,7,-25.0,-6.5,0.0,PG,2022
Herbert Jones,joneshe01,NOP,2335,-2.0,1.5,0.9,PF,2022
Jonas Valančiūnas,valanjo01,NOP,2240,2.0,-0.1,2.2,C,2022
Devonte' Graham,grahade01,NOP,2162,0.2,-1.2,0.5,PG,2022
Brandon Ingram,ingrabr01,NOP,1869,2.6,-0.6,1.9,SF,2022
Jaxson Hayes,hayesja02,NOP,1398,0.6,-0.3,0.8,C,2022
Josh Hart,hartjo01,NOP,1374,-0.2,0.9,0.9,SG,2022
Nickeil Alexander-Walker,alexani01,NOP,1317,-1.7,-1.3,-0.3,SG,2022
Garrett Temple,templga01,NOP,1098,-2.8,0.3,-0.1,SG,2022
CJ McCollum,mccolcj01,NOP,878,5.3,-0.7,1.5,PG,2022
Trey Murphy III,murphtr02,NOP,864,0.2,-1.4,0.2,SF,2022
Willy Hernangómez,hernawi01,NOP,839,1.8,-1.5,0.5,C,2022
Jose Alvarado,alvarjo01,NOP,834,-0.5,2.4,0.8,PG,2022
Naji Marshall,marshna01,NOP,735,-2.7,-0.5,-0.2,SF,2022
Tomáš Satoranský,satorto01,NOP,481,-5.1,-0.5,-0.4,SG,2022
Gary Clark,clarkga01,NOP,378,0.1,0.0,0.2,PF,2022
Kira Lewis Jr.,lewiski01,NOP,341,-2.8,-1.2,-0.2,PG,2022
Tony Snell,snellto01,NOP,277,-2.0,-0.6,0.0,SG,2022
Larry Nance Jr.,nancela02,NOP,182,-1.1,-0.8,0.0,PF,2022
Tyrone Wallace,wallaty01,NOP,75,-7.7,-0.6,-0.1,SG,2022
Jared Harper,harpeja01,NOP,43,14.2,3.1,0.2,PG,2022
Alize Johnson,johnsal02,NOP,28,-1.9,-3.0,0.0,PF,2022
Didi Louzada,louzama01,NOP,7,-4.1,-8.4,0.0,SF,2022
Domantas Sabonis,sabondo01,IND,1632,3.6,1.0,2.7,PF,2022
Oshae Brissett,brissos01,IND,1564,-0.5,-1.7,-0.1,SF,2022
Chris Duarte,duartch01,IND,1541,-1.2,-1.1,-0.1,SG,2022
Justin Holiday,holidju01,IND,1416,-0.8,-0.8,0.1,SF,2022
Myles Turner,turnemy01,IND,1235,0.1,1.4,1.1,C,2022
Caris LeVert,leverca01,IND,1214,1.0,-1.3,0.5,SG,2022
Malcolm Brogdon,brogdma01,IND,1206,2.8,-0.5,1.3,PG,2022
Torrey Craig,craigto01,IND,1034,-1.6,-0.6,-0.1,SF,2022
Duane Washington Jr.,washidu02,IND,968,-1.9,-2.8,-0.7,PG,2022
Tyrese Haliburton,halibty01,IND,938,3.8,-1.0,1.1,PG,2022
Buddy Hield,hieldbu01,IND,925,1.1,-2.2,0.2,SG,2022
Lance Stephenson,stephla01,IND,744,-1.1,-1.7,-0.1,PG,2022
Goga Bitadze,bitadgo01,IND,729,-0.2,-0.6,0.2,C,2022
Terry Taylor,taylote01,IND,714,2.1,-2.8,0.2,PF,2022
T.J. McConnell,mccontj01,IND,652,-0.4,1.4,0.5,PG,2022
Jeremy Lamb,lambje01,IND,613,-0.2,-0.2,0.2,SF,2022
Keifer Sykes,sykeske01,IND,566,-4.4,-2.4,-0.7,PG,2022
Jalen Smith,smithja04,IND,543,2.9,-2.1,0.4,PF,2022
Isaiah Jackson,jacksis01,IND,541,-1.6,0.0,0.0,C,2022
Kelan Martin,martike03,IND,444,-2.4,-0.9,-0.1,SF,2022
Brad Wanamaker,wanambr01,IND,293,-5.6,-1.0,-0.3,PG,2022
Justin Anderson,anderju01,IND,269,-1.7,-1.6,-0.1,SF,2022
Tristan Thompson,thomptr01,IND,66,-3.2,-3.5,-0.1,C,2022
Gabe York,yorkga01,IND,21,-3.7,2.2,0.0,SG,2022
Reggie Perry,perryre01,IND,10,-7.7,-1.2,0.0,PF,2022
Nate Hinton,hintona01,IND,2,-28.1,-14.5,0.0,SG,2022
DeJon Jarreau,jarrede01,IND,1,-6.5,-1.5,0.0,SG,2022
Ahmad Caver,caverah01,IND,1,31.0,5.9,0.0,SG,2022
Nikola Jokić,jokicni01,DEN,2476,9.2,4.5,9.8,C,2022
Aaron Gordon,gordoaa01,DEN,2376,0.5,-1.1,0.9,PF,2022
Will Barton,bartowi01,DEN,2277,0.4,-0.9,0.9,SG,2022
Monte Morris,morrimo01,DEN,2239,0.8,-0.8,1.1,PG,2022
Jeff Green,greenje02,DEN,1849,-1.2,-1.3,-0.2,PF,2022
Austin Rivers,riverau01,DEN,1480,-3.5,-0.3,-0.7,SG,2022
Bones Hyland,hylanbo01,DEN,1310,0.3,-0.7,0.5,SG,2022
Facundo Campazzo,campafa01,DEN,1184,-2.1,1.3,0.4,PG,2022
JaMychal Green,greenja01,DEN,1085,-2.0,0.1,0.0,PF,2022
Zeke Nnaji,nnajize01,DEN,698,-0.7,-1.6,0.0,PF,2022
Davon Reed,reedda01,DEN,668,-0.6,0.3,0.3,SG,2022
Bryn Forbes,forbebr01,DEN,610,-1.1,-3.2,-0.4,SG,2022
DeMarcus Cousins,couside01,DEN,431,-2.8,-0.2,-0.1,C,2022
PJ Dozier,doziepj01,DEN,340,-3.0,1.0,0.0,SG,2022
Michael Porter Jr.,portemi01,DEN,265,-3.9,0.5,-0.1,SF,2022
Vlatko Čančar,cancavl01,DEN,176,-0.9,-0.9,0.0,PF,2022
Markus Howard,howarma02,DEN,176,0.8,-2.0,0.0,SG,2022
Bol Bol,bolbo01,DEN,81,-0.5,-0.4,0.0,PF,2022
Petr Cornelie,cornepe01,DEN,38,-6.1,-2.7,-0.1,PF,2022
Rayjon Tucker,tuckera01,DEN,29,0.6,1.3,0.0,SG,2022
James Ennis III,ennisja01,DEN,14,-7.2,-4.0,0.0,SF,2022
Carlik Jones,jonesca03,DEN,4,-3.0,-3.7,0.0,PG,2022
Patty Mills,millspa02,BRK,2346,-0.3,-1.4,0.2,SG,2022
Kevin Durant,duranke01,BRK,2047,6.4,0.7,4.8,PF,2022
Bruce Brown,brownbr01,BRK,1774,-0.4,1.1,1.2,SF,2022
James Harden,hardeja01,BRK,1627,3.7,0.4,2.5,PG,2022
James Johnson,johnsja01,BRK,1191,-2.7,0.6,-0.1,PF,2022
Cam Thomas,thomaca02,BRK,1176,-2.0,-1.4,-0.4,SG,2022
Kyrie Irving,irvinky01,BRK,1091,4.2,-1.2,1.4,PG,2022
LaMarcus Aldridge,aldrila01,BRK,1050,1.3,-0.6,0.7,C,2022
Kessler Edwards,edwarke02,BRK,987,-3.1,-0.8,-0.5,SF,2022
Nic Claxton,claxtni01,BRK,974,0.3,0.2,0.6,C,2022
Blake Griffin,griffbl01,BRK,958,-0.6,0.1,0.3,C,2022
DeAndre' Bembry,bembrde01,BRK,949,-2.0,1.6,0.4,SF,2022
Seth Curry,curryse01,BRK,569,1.5,-0.8,0.4,SG,2022
Jevon Carter,carteje01,BRK,552,-3.6,-0.9,-0.3,PG,2022
Andre Drummond,drumman01,BRK,535,1.7,-0.5,0.4,C,2022
Joe Harris,harrijo01,BRK,423,-0.9,-0.5,0.1,SF,2022
Goran Dragić,dragigo01,BRK,408,-3.3,-1.1,-0.3,PG,2022
Day'Ron Sharpe,sharpda01,BRK,391,-0.3,-2.5,-0.1,PF,2022
David Duke Jr.,dukeda01,BRK,341,-3.0,-0.9,-0.2,PG,2022
Paul Millsap,millspa01,BRK,270,-3.6,0.5,-0.1,C,2022
Langston Galloway,gallola01,BRK,58,-7.7,-2.8,-0.1,SG,2022
Shaquille Harrison,harrish01,BRK,23,-9.0,0.6,0.0,SG,2022
James Ennis III,ennisja01,BRK,14,-0.5,-0.6,0.0,SF,2022
Wenyen Gabriel,gabriwe01,BRK,1,-1.9,0.3,0.0,PF,2022
Dorian Finney-Smith,finnedo01,DAL,2644,0.1,0.7,1.9,PF,2022
Jalen Brunson,brunsja01,DAL,2524,0.9,0.0,1.9,SG,2022
Luka Dončić,doncilu01,DAL,2301,6.4,1.8,5.9,PG,2022
Reggie Bullock,bullore01,DAL,1902,-1.4,0.0,0.3,SF,2022
Dwight Powell,poweldw01,DAL,1798,0.4,0.5,1.3,C,2022
Maxi Kleber,klebima01,DAL,1450,-1.6,1.2,0.6,PF,2022
Tim Hardaway Jr.,hardati02,DAL,1245,-0.4,0.2,0.6,SG,2022
Josh Green,greenjo02,DAL,1039,-2.4,1.4,0.3,SG,2022
Kristaps Porziņģis,porzikr01,DAL,1002,2.2,0.8,1.3,PF,2022
Frank Ntilikina,ntilila01,DAL,685,-2.8,0.9,0.0,SG,2022
Spencer Dinwiddie,dinwisp01,DAL,650,2.8,0.1,0.8,PG,2022
Sterling Brown,brownst02,DAL,628,-3.4,0.5,-0.1,SG,2022
Trey Burke,burketr01,DAL,441,-3.6,-1.4,-0.3,PG,2022
Marquese Chriss,chrisma01,DAL,346,-3.8,0.0,-0.2,PF,2022
Dāvis Bertāns,bertada01,DAL,306,-0.4,-0.3,0.1,PF,2022
Willie Cauley-Stein,caulewi01,DAL,177,-4.1,0.9,0.0,C,2022
Moses Brown,brownmo01,DAL,169,-4.7,-0.2,-0.1,C,2022
Theo Pinson,pinsoth01,DAL,148,-1.5,1.0,0.1,SF,2022
Boban Marjanović,marjabo01,DAL,128,-3.2,-1.2,-0.1,C,2022
Brandon Knight,knighbr03,DAL,65,-2.7,-1.9,0.0,PG,2022
Carlik Jones,jonesca03,DAL,19,-13.0,-4.3,-0.1,PG,2022
George King,kingge03,DAL,19,-16.5,-3.5,-0.1,SF,2022
Eugene Omoruyi,omorueu01,DAL,18,3.3,0.7,0.0,SF,2022
Charlie Brown Jr.,brownch02,DAL,15,-7.7,5.1,0.0,SG,2022
Isaiah Thomas,thomais02,DAL,13,-0.6,-3.7,0.0,PG,2022
Moses Wright,wrighmo01,DAL,13,0.3,-0.6,0.0,PF,2022
JaQuori McLaughlin,mclauja01,DAL,11,-9.4,-4.2,0.0,PG,2022
Franz Wagner,wagnefr01,ORL,2429,-0.4,-0.3,0.8,SF,2022
Cole Anthony,anthoco01,ORL,2059,-0.6,-0.6,0.4,PG,2022
Wendell Carter Jr.,cartewe01,ORL,1852,1.0,0.6,1.7,PF,2022
Mo Bamba,bambamo01,ORL,1824,-0.2,0.9,1.2,C,2022
Chuma Okeke,okekech01,ORL,1749,-1.6,1.5,0.8,PF,2022
Gary Harris,harriga01,ORL,1730,-2.0,-0.4,-0.2,SG,2022
Terrence Ross,rosste01,ORL,1448,-2.5,-1.1,-0.6,SG,2022
R.J. Hampton,hamptrj01,ORL,1402,-4.0,-0.1,-0.7,SG,2022
Jalen Suggs,suggsja01,ORL,1307,-5.3,-0.2,-1.2,PG,2022
Moritz Wagner,wagnemo01,ORL,960,1.5,0.1,0.9,C,2022
Robin Lopez,lopezro01,ORL,612,-2.4,-1.4,-0.3,C,2022
Ignas Brazdeikis,brazdig01,ORL,536,-2.7,-1.6,-0.3,SF,2022
Admiral Schofield,schofad01,ORL,469,-4.2,-1.2,-0.4,SF,2022
Markelle Fultz,fultzma01,ORL,360,-0.1,0.4,0.2,PG,2022
Tim Frazier,fraziti01,ORL,200,-6.4,-1.7,-0.3,PG,2022
Mychal Mulder,muldemy01,ORL,195,-6.9,-1.7,-0.3,PG,2022
Hassani Gravett,graveha01,ORL,171,-2.4,0.2,0.0,PG,2022
Devin Cannady,cannade01,ORL,145,-2.8,-0.4,0.0,PG,2022
Freddie Gillespie,gillefr01,ORL,119,-5.6,1.0,-0.1,PF,2022
Jeff Dowtin Jr.,dowtije01,ORL,77,-5.8,0.2,-0.1,PG,2022
Aleem Ford,fordal03,ORL,74,-9.1,-2.2,-0.2,SF,2022
B.J. Johnson,johnsbj01,ORL,65,-0.7,-3.9,0.0,SF,2022
Russell Westbrook,westbru01,LAL,2678,-0.7,-0.9,0.2,PG,2022
Malik Monk,monkma01,LAL,2139,0.5,-1.0,0.8,SG,2022
LeBron James,jamesle01,LAL,2084,6.9,0.8,5.1,C,2022
Carmelo Anthony,anthoca01,LAL,1793,0.4,-0.8,0.7,PF,2022
Talen Horton-Tucker,hortota01,LAL,1511,-3.2,-0.2,-0.5,SG,2022
Austin Reaves,reaveau01,LAL,1418,-1.3,-0.6,0.0,SG,2022
Avery Bradley,bradlav01,LAL,1406,-3.5,-0.1,-0.6,SG,2022
Anthony Davis,davisan02,LAL,1404,2.6,1.2,2.0,C,2022
Stanley Johnson,johnsst04,LAL,1094,-2.8,0.1,-0.2,PF,2022
Dwight Howard,howardw01,LAL,971,-0.2,0.0,0.4,C,2022
Wayne Ellington,ellinwa01,LAL,810,-0.7,-0.6,0.1,SG,2022
Kent Bazemore,bazemke01,LAL,545,-5.1,0.8,-0.3,SF,2022
Trevor Ariza,arizatr01,LAL,462,-3.3,-0.2,-0.2,SF,2022
DeAndre Jordan,jordade01,LAL,408,-1.5,0.9,0.2,C,2022
D.J. Augustin,augusdj01,LAL,373,-1.0,-1.6,-0.1,PG,2022
Wenyen Gabriel,gabriwe01,LAL,311,-3.3,-2.3,-0.3,PF,2022
Rajon Rondo,rondora01,LAL,289,-4.8,0.3,-0.2,PG,2022
Isaiah Thomas,thomais02,LAL,101,-6.0,-2.5,-0.2,PG,2022
Mason Jones,jonesma05,LAL,51,-1.2,0.3,0.0,SG,2022
Darren Collison,collida01,LAL,37,-10.0,-0.9,-0.1,PG,2022
Mac McClung,mccluma01,LAL,22,-8.6,-0.2,0.0,SG,2022
Chaundee Brown Jr.,brownch05,LAL,21,-11.6,-5.0,-0.1,SF,2022
Jay Huff,huffja01,LAL,20,-8.3,0.9,0.0,C,2022
Sekou Doumbouya,doumbse01,LAL,16,8.8,10.0,0.1,PF,2022
Jemerrio Jones,jonesje01,LAL,15,-1.1,0.1,0.0,SF,2022
Julius Randle,randlju01,NYK,2544,0.4,0.2,1.6,PF,2022
RJ Barrett,barrerj01,NYK,2417,-0.3,-1.3,0.2,SF,2022
Evan Fournier,fournev01,NYK,2358,-0.4,-0.3,0.7,SG,2022
Alec Burks,burksal01,NYK,2318,-0.4,1.2,1.7,SG,2022
Mitchell Robinson,robinmi01,NYK,1848,1.0,1.2,2.0,C,2022
Immanuel Quickley,quickim01,NYK,1802,0.2,0.0,1.0,PG,2022
Obi Toppin,toppiob01,NYK,1230,1.7,0.3,1.2,PF,2022
Kemba Walker,walkeke02,NYK,948,0.7,-0.2,0.6,PG,2022
Taj Gibson,gibsota01,NYK,946,-3.0,1.0,0.0,C,2022
Quentin Grimes,grimequ01,NYK,786,-1.2,0.9,0.3,SG,2022
Derrick Rose,rosede01,NYK,636,2.3,0.0,0.7,PG,2022
Nerlens Noel,noelne01,NYK,562,-3.1,3.3,0.3,C,2022
Jericho Sims,simsje01,NYK,555,-2.8,1.1,0.0,PF,2022
Miles McBride,mcbrimi01,NYK,372,-5.5,1.0,-0.2,PG,2022
Cam Reddish,reddica01,NYK,215,-2.0,1.2,0.1,SF,2022
Kevin Knox,knoxke01,NYK,111,0.5,-1.9,0.0,SF,2022
Ryan Arcidiacono,arcidry01,NYK,76,-4.6,0.0,-0.1,PG,2022
Damyean Dotson,dotsoda01,NYK,21,-3.7,-1.2,0.0,SG,2022
Wayne Selden,seldewa01,NYK,19,-4.3,-1.6,0.0,SG,2022
Feron Hunt,huntfe01,NYK,8,-12.3,1.0,0.0,SF,2022
Danuel House Jr.,houseda01,NYK,3,-12.6,-7.8,0.0,SF,2022
Matt Mooney,moonema01,NYK,2,-33.9,11.5,0.0,SG,2022
Tyler Hall,hallty01,NYK,2,-8.1,-0.5,0.0,SG,2022
Harrison Barnes,barneha02,SAC,2587,1.5,-1.3,1.4,PF,2022
De'Aaron Fox,foxde01,SAC,2083,0.6,-1.2,0.7,PG,2022
Davion Mitchell,mitchda01,SAC,2076,-2.1,-1.7,-0.9,PG,2022
Tyrese Haliburton,halibty01,SAC,1757,2.2,0.4,2.0,SG,2022
Buddy Hield,hieldbu01,SAC,1574,0.2,-1.5,0.3,SG,2022
Chimezie Metu,metuch01,SAC,1279,-1.6,0.1,0.2,C,2022
Richaun Holmes,holmeri01,SAC,1074,-0.4,-0.1,0.4,C,2022
Damian Jones,jonesda03,SAC,1017,-0.2,0.5,0.6,C,2022
Maurice Harkless,harklma01,SAC,863,-3.7,0.4,-0.3,SF,2022
Donte DiVincenzo,divindo01,SAC,665,-0.8,0.2,0.2,SG,2022
Marvin Bagley III,baglema01,SAC,656,-1.1,-2.4,-0.3,PF,2022
Justin Holiday,holidju01,SAC,641,-2.6,-0.8,-0.2,SG,2022
Alex Len,lenal01,SAC,620,-3.2,0.3,-0.1,C,2022
Trey Lyles,lylestr01,SAC,547,0.7,-1.6,0.1,PF,2022
Terence Davis,daviste02,SAC,536,-0.6,-0.4,0.2,SG,2022
